"Principe actif";"Forme galénique";"Classe ATC";"Libellé ATC3";"Libellé ATC4";"Goût";"Modalités de préparation";"Source des modalités";"Autre source";"Méthode d'administration si médicament écrasé, ouvert ou délité";"Alternatives galéniques";"Informations RCP, notice patient et Thériaque";"Réponses laboratoires résumées";"Date de màj";
"FLUCONAZOLE 50, 100, 150 et 200 mg (Beagyne, Triflucan)";"Gélule";"J02AC01";"Antimycosiques à usage systémique";"Dérivés triazolés";;"NO";"RCP";;;"Poudre pour suspension buvable";"A prendre de préférence à heure fixe.";"Pfizer 04-08-2020 : ouverture déconseillée car hors-AMM. Une étude montre la possibilité d'ouvrir les gélules pour administration en SNG. Peu hydrosoluble.";"18/04/2023";
"FLUCYTOSINE 500 mg (Ancotil)";"Comprimé sécable";"J02AX01";"Antimycosiques à usage systémique";"Autres antimycosiques à usage systémique";;"E";"Réponse laboratoire";;"E, V";;"PA cytotoxique. Possibilité de broyer les comprimés si administration immédiate.";"Viatris 17-02-2023 : prendre des précautions comme le port de gants, masque et lunettes de protection lors de la préparation et de l’administration. Il convient d’éviter l’exposition des femmes enceintes ou des femmes qui allaitent.";"18/04/2023";
"FLUDROCORTISONE 50 µg (Flucortac)";"Comprimé sécable";"H02AA02";"Corticoïdes à usage systémique non associés";"Minéralocorticoïdes";;"E";"RCP";;"E, J, V";"Non";"A dissoudre dans de l'eau ou du jus de fruit. Administration immédiate car PA sensible à l'humidité.";"HAC Pharma 22-02-2022 : cf RCP";"18/04/2023";
"FLUINDIONE 20 mg (Previscan)";"Comprimé sécable";"B01AA12";"Antithrombotiques";"Antivitamines K";;"E";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir.";"Merck 07-05-2022 : Pas de données de stabilité après broyage, décsion du broyage laissée à l'apréciateur de l'utilisateur /!\ MTE";"12/05/2025";
"FLUNARIZINE 10 mg (Sibelium)";"Comprimé sécable";"N02CX";"Antimigraineux";"Autres antimigraineux";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le soir (effet sédatif).";"Janssen 09-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"FLUOXETINE 20 mg (Prozac)";"Gélule";"N06AB03";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";;"NO";"Notice patient";;;"Comprimés dispersibles, solution buvable";;;"18/04/2023";
"FLURBIPROFENE 50 et 100 mg (Cebutid)";"Comprimé";"M01AE09";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";;"NE";"RCP";;;"Non";"A prendre de préférence pendant les repas.";;"18/04/2023";
"FLURBIPROFENE LP 200 mg (Cebutid LP)";"Gélule LP";"M01AE09";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";;"O, NE";"RCP";;"E";"Non";"A prendre de préférence pendant les repas.";"Almirall SAS France 09-05-2022 : écrasement déconseillé car pas d'étude d'efficacité, de biodisponibilité, de stabilité et de sécurité";"18/04/2023";
"FLUVASTATINE 20 et 40 mg (génériques)";"Gélule";"C10AA04";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";;"NO";"RCP";;;"Non";"A prendre matin et soir ou seulement le soir.";;"18/04/2023";
"FLUVASTATINE LP 80 mg (Lescol LP)";"Comprimé LP";"C10AA04";"Agents réduisants les lipides sériques, non associés";"Inhibiteurs de l'HMG-CoA reductase (statines)";;"NE";"RCP";;;"Non";;"Novartis 16-03-2022 : cf. RCP";"18/04/2023";
"FLUVOXAMINE 50 et 100 mg (Floxyfral)";"Comprimé sécable";"N06AB08";"Antidépresseurs";"Inhibiteurs sélectifs de la recapture de la sérotonine (ISRS)";"G";"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";;"Viatris 17-02-2023 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"FOSAMPRENAVIR 700 mg (Telzir)";"Comprimé";"J05AE07";"Antiviraux à action directe";"Inhibiteurs de protéase";;"NE";"Notice patient";;;"Suspension buvable
? Administration ?";"La suspension buvable (mais pas les comprimés) doit être prise à jeun en dehors des repas chez l'adulte, et pendant les repas chez l'enfant ou l'adolescent.";;"18/04/2023";
"FOSINOPRIL / HYDROCHLOROTHIAZIDE 20/12,5 mg (génériques)";"Comprimé sécable";"C09BA09";"Inhibiteurs de l'enzyme de conversion de l'angiotensine en associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine et diurétiques";"G";"E";"Réponse laboratoire";;"E";"Non";;"Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.";"18/04/2023";
"FOSINOPRIL 10 et 20 mg (génériques)";"Comprimé sécable";"C09AA09";"Inhibiteurs de l'enzyme de conversion de l'angiotensine (IEC), sauf associations";"Inhibiteurs de l'enzyme de conversion de l'angiotensine sans association";;"NE";"Réponse laboratoire";"Ecrasable selon laboratoire";"E";"Non";;"Arrow 15-03-2022 : écrasement déconseillé, mais les études rapportent un écrasement possible.";"18/04/2023";
"FUMARATE FERREUX 66 mg (Fumafer)";"Comprimé";"B03AA02";"Préparations martiales";"Préparations orales de fer bivalent";"G";"NE";"Réponse laboratoire";;;"Solution buvable";"Horaire de la prise à adapter en fonction de la tolérance digestive.";"Cheplapharm 14-03-2022 : écrasement déconseillé car pas d'étude. Goût amer.";"18/04/2023";
"FUROSEMIDE 20, 40, 500 mg (Lasilix faible, Lasilix, Lasilix special)";"Comprimé ou comprimé sécable";"C03CA01";"Diurétiques de l'anse";"Sulfamides non associés";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Solution buvable";;"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"FUROSEMIDE LP 60 mg (Lasilix retard)";"Gélule LP";"C03CA01";"Diurétiques de l'anse";"Sulfamides non associés";;"NE";"Réponse laboratoire";;;"? Non LP ?
Solution buvable";"A prendre le matin avant le petit-déjeuner.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"GABAPENTINE 100, 300 et 400 mg (Neurontin)";"Gélule";"N03AX12";"Antiépileptiques";"Autres antiépileptiques";"G";"O";"Réponse laboratoire";"Ouvrable selon HUG 03/2023";"E, J, L, C, Y, V";"Solution buvable (AAC)";"Goût amer.";"Pfizer 04-08-2020 : ouvrable si administration immédiate. A mélanger à un aliment pour masquer l'amertume. Une étude indique que l'ouverture n'influe pas sur l'absorption.";"18/04/2023";
"GABAPENTINE 600 et 800 mg (Neurontin)";"Comprimé sécable";"N03AX12";"Antiépileptiques";"Autres antiépileptiques";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Gélules ouvrables, solution buvable (AAC)";;"En attente (Viatris)";"18/04/2023";
"GLIBENCLAMIDE 2,5 et 5 mg (génériques)";"Comprimé sécable";"A10BB01";"Hypoglycémiants autres que les insulines";"Sulfonylurées";"G";"NE";"Réponse laboratoire";;;"Solution buvable (AAC)";"A prendre au début des repas.";"Arrow 04-05-2023 : écrasement déconseillé car pas d'étude, mais possible selon des sources extérieures. Goût amer.";"30/06/2023";
"GLICLAZIDE 80 mg (génériques)";"Comprimé sécable";"A10BB09";"Hypoglycémiants autres que les insulines";"Sulfonylurées";;"?";;"Ecrasable selon HUG 03/2023";;"Non";;"En attente (génériques)";"18/04/2023";
"GLICLAZIDE LM 30, 60 mg (Diamicron)";"Comprimé LM ou comprimé sécable LM";"A10BB09";"Hypoglycémiants autres que les insulines";"Sulfonylurées";;"NE";"RCP";;;"Non";"A prendre au petit-déjeuner. Ne pas croquer (risque d'hypoglycémie).";"Servier 28-02-2022 : cf. RCP";"19/09/2023";
"GLIMEPIRIDE 1, 2, 3 et 4 mg (Amarel)";"Comprimé";"A10BB12";"Hypoglycémiants autres que les insulines";"Sulfonylurées";;"NE";"Notice patient";"Ecrasable selon HUG 03/2023";;"Non";"A prendre au début du premier repas principal de la journée.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"GLIPIZIDE LP 5 et 10 mg (Ozidia)";"Comprimé LP";"A10BB07";"Hypoglycémiants autres que les insulines";"Sulfonylurées";;"NE";"RCP";;;"Non";"A prendre pendant les repas, en général le petit-déjeuner.";"Pfizer 14-03-2023 : cf RCP.";"18/04/2023";
"GRANISETRON 1 et 2 mg (Kytril)";"Comprimé";"A04AA02";"Antiémétiques et antinauséeux";"Antagonistes de la sérotonine (5-HT3)";;"NE";"RCP";;;"Non";;;"18/04/2023";
"HALOPERIDOL 1 et 5 mg (Haldol)";"Comprimé";"N05AD01";"Antipsychotiques";"Dérivés de la butyrophénone";;"NE";"Thériaque 03/2023";;;"Solution buvable";"Eviter le jus de pamplemousse.";;"18/04/2023";
"HYDROCHLOROTHIAZIDE 25 mg (Esidrex)";"Comprimé sécable";"C03AA03";"Diurétique low-ceiling et thiazidiques";"Thiazidiques non associés ";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";;"Juvise Pharmaceuticals 31-03-2022 : écrasement déconseillé car pas d'étude.";"18/04/2023";
"HYDROCORTISONE 10 mg ";"Comprimé sécable";"H02AB09";"Corticoïdes à usage systémique non associés";"Glucocorticoïdes";;"E";"RCP";;"C, Y";"Non";"Peut être mélangé à l'alimentation.";;"18/04/2023";
"HYDROMORPHONE LP 4, 8, 16 et 24 mg (Sophidone LP)";"Gélule LP";"N02AA03";"Opioïdes";"Alcaloïdes naturels de l'opium";;"O, NE";"RCP";;"C, Y, V";"Non";"Peut être mélangé dans un aliment semi-solide (purée, confiture, compote, yaourt...). Ne pas dissoudre les granules pour maintenir l'enveloppe gastro-résistante. Administration immédiate.";"Mundipharma 03-08-2020 : cf. RCP";"18/04/2023";
"HYDROQUINIDINE LP 300 mg (Serecor)";"Gélule LP";"C01BA13";"Antiarythmiques de classe I et III";"Antiarythmiques, classe Ia";;"NO";"Notice patient";;;"Non";;"Sanofi 23-03-2022 : ouverture déconseillée car pas d'étude";"18/04/2023";
"HYDROXYCARBAMIDE 500 mg (Hydrea)";"Gélule";"L01XX05";"Autres antinéoplasiques";"Autres antinéoplasiques";;"O";"RCP";;"E, V";"Non";"PA cytostatique : en cas d'ouverture porter des gants protecteurs, un masque et éviter toute inhalation ou contact avec la peau ou les muqueuses. Vider la gélule dans un verre d'eau et administrer immédiatement. ";;"18/04/2023";
"HYDROXYCHLOROQUINE 200 mg (Plaquenil)";"Comprimé";"D11AX";"Autres préparations dermatologiques";"Autres préparations dermatologiques";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre après les repas.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"HYDROXYZINE 25 mg (Atarax)";"Comprimé ou comprimé sécable";"N05BB01";"Anxiolytiques";"Dérivés du diphénylméthane";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Sirop";"Ne pas laisser fondre sous la langue.";"UCB Pharma 24-02-2022 : écrasement déconseillé car pas d'étude. Goût amer.";"18/04/2023";
"IBUPROFENE / PSEUDOEPHEDRINE 200/30 mg (Rhinadvil)";"Comprimé";"R01BA52";"Décongestionnants nasaux à usage systémique";"Sympathomimétiques";"G";"NE";"RCP";;;"Non";"A prendre de préférence pendant les repas. L'écrasement majore les effets indésirables.";"GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.";"18/04/2023";
"IBUPROFENE 100, 200 et 400 mg (Advil, Nurofen, etc.)";"Comprimé";"M01AE01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NE";"RCP";;;"Comprimés orodispersibles, granulés pour suspension buvable";"A prendre de préférence pendant les repas.";"GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.";"18/04/2023";
"IBUPROFENE 200 et 400 mg (Advilcaps, Nurofencaps)";"Capsule molle";"M01AE01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NO";"RCP";;;"Comprimés orodispersibles, granulés pour suspension buvable";"A prendre de préférence pendant les repas. L'écrasement majore les effets indésirables.";"GSK 17-02-2022 : non-écrasable car pas d'étude. Goût amer.";"18/04/2023";
"IMATINIB 100 et 400 mg (Glivec)";"Comprimé ";"L01EA01";"Autres antinéoplasiques";"Inhibiteurs de protéine kinase";;"D";"RCP";;"E, J, V";"Non";"PA cytotoxique. Peut être dispersé sans l'écraser dans un verre d'eau plate ou de jus de pomme (environ 50 mL pour un comprimé de 100 mg, ou 200 mL pour celui de 400 mg). Administration immédiate.";;"18/04/2023";
"IMIPRAMINE 10 et 25 mg (Tofranil)";"Comprimé";"N06AA02";"Antidépresseurs";"Inhibiteurs non-sélectifs de la recapture des monoamines";;"?";;;;"Non";;"En attente (Centre de Specialites Pharmaceutiques)";"18/04/2023";
"INDAPAMIDE 2,5 mg (Fludex)";"Comprimé";"C03BA11";"Diurétiques low-ceiling sauf les thiazidiques";"Sulfamides non associés";;"NE";"Réponse laboratoire";;;"Non";"A prendre de préférence le matin.";"Servier 28-02-2022 : broyage déconseillé car pas d'étude";"18/04/2023";
"INDAPAMIDE LP 1,5 mg (Fludex LP)";"Comprimé LP";"C03BA11";"Diurétiques low-ceiling sauf les thiazidiques";"Sulfamides non associés";;"NE";"RCP";;;"Non";"A prendre de préférence le matin.";;"18/04/2023";
"INDOMETACINE 25 mg (Indocid)";"Gélule";"M01AB01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide acétique et apparentés";;"O";"Réponse laboratoire";;"E, V";"Suppositoires, suspension buvable (AAC)";"A prendre de préférence pendant les repas pour améliorer la tolérance digestive.";"HAC Pharma 22-02-2022 : ouverture possible si besoin, avec administration immédiate et protection appropriée de l'opérateur";"18/04/2023";
"INDOMETACINE 75 mg (Chrono-indocid)";"Gélule LP";"M01AB01";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide acétique et apparentés";;"NO";"Notice patient";"Ouvrable selon laboratoire";"E, V";"? Non LP ?
Suppositoires, suspension buvable (AAC)";"A prendre de préférence pendant les repas pour améliorer la tolérance digestive.";"HAC Pharma 22-02-2022 : ouverture possible si nécessaire uniquement, avec administration immédiate et protection appropriée de l'opérateur";"18/04/2023";
"IRBESARTAN / HYDROCHLOROTHIAZIDE 150/12,5 ; 300/12,5 et 300/25 mg (Coaprovel)";"Comprimé";"C09DA04";"Antagonistes de l'angiotensine II en associations";"Antagonistes de l'angiotensine II et diurétiques";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"IRBESARTAN 75, 150 et 300 mg (Aprovel)";"Comprimé";"C09CA04";"Antagonistes de l'angiotensine II non associés";"Antagonistes de l'angiotensine II non associés";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre à heure fixe.";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ISAVUCONAZOLE 100mg (Cresemba)";"Gélule";"J02AC05";"Antimycosiques à usage systémique, ";"Dérivés triazolés et tétrazolés";;"NO";"RCP";"Ouvrable selon HUG 03/2023";;"Non";"A prendre à heure fixe pendant ou en dehors du repas.";"Pfizer 28-06-2024 : Plusieurs études montrent que l'administration par sonde après ouverture des gélules atteint des concentrations équivalentes à une administration intacte des gélules.";"02/07/2024";
"ISONIAZIDE / PYRAZINAMIDE / RIFAMPICINE 50/300/120 mg (Rifater)";"Comprimé";"J04AM05";"Antituberculeux";"Antituberculeux en associations";"G";"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence à jeun (? 30 min avant les repas).";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ISONIAZIDE / RIFAMPICINE 150/300 mg (Rifinah)";"Comprimé";"J04AM02";"Antituberculeux";"Antituberculeux en associations";;"NE";"Réponse laboratoire";;;"Non";"A prendre le matin à jeun (? 30 min avant les repas).";"Sanofi 23-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"ISRADIPINE LP 2,5 et 5 mg (Icaz LP)";"Gélule LP";"C08CA03";"Inhibiteurs calciques sélectifs à effets vasculaires";"Dérivés de la dihydropyridine";;"NO";"RCP";;;"Non";"A prendre le matin.";"DB Pharma 21-02-2022 : pas d'informations complémentaires au RCP ";"18/04/2023";
"ITRACONAZOLE 100 mg (Sporanox)";"Gélule";"J02AC02";"Antimycosiques à usage systémique";"Dérivés triazolés";;"NO";"RCP";;;"Solution buvable";"A prendre en fin de repas. Eviter le jus de pamplemousse.";;"18/04/2023";
"IVABRADINE 5 et 7,5 mg (Procoralan)";"Comprimé";"C01EB17";"Autres médicaments pour le cœur";"Autres médicaments pour le cœur";;"E";"Réponse laboratoire";;"E";"Non";"A prendre pendant les repas. Eviter le jus de pamplemousse.";"Arrow 15-03-2022 : l'ensemble des sources bibliographiques rapportent un écrasement possible.";"18/04/2023";
"IVERMECTINE 3 mg (Stromectol)";"Comprimé";"P02CF01";"Antinématodes";"Avermectines";;"E";"RCP";;"E";"Non";"A prendre à jeun (? 2h avant ou après les repas).";;"18/04/2023";
"JOSAMYCINE 500 mg (Josacine)";"Comprimé";"J01FA07";"Macrolides, lincosamides et streptogramines";"Macrolides";;"NE";"Réponse laboratoire";;;"Comprimés dispersibles, granulés pour suspension buvable";;"Astellas Pharma 14-03-2022 : écrasement déconseillé car pas d'étude";"18/04/2023";
"KETOPROFENE 25, 100 et 150 mg (Ketum, Toprec, Profenid, Profemigr, etc.)";"Comprimé ou comprimé sécable";"M01AE03";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NE";"RCP";;;"Suppositoires, suspension buvable ";"A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.";;"18/04/2023";
"KETOPROFENE 50 mg (Profenid)";"Gélule";"M01AE03";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NO";"RCP";;;"Suppositoires";"A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.";;"18/04/2023";
"KETOPROFENE LP 100 et 200 mg (Bi profenid)";"Comprimé LP";"M01AE03";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NE";"RCP";;;"? Non LP ?
Suppositoires";"A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.";;"18/04/2023";
"KETOPROFENE LP 200 mg (Profenid LP)";"Gélule LP";"M01AE03";"Anti-inflammatoires et anti-rhumatismaux non stéroïdiens";"Dérivés de l'acide propionique";"G";"NO";"RCP";;;"? Non LP ?
Suppositoires";"A prendre de préférence pendant les repas ou une collation pour améliorer la tolérance digestive.";;"18/04/2023";
"KETOTIFENE 1 mg (Zaditen)";"Gélule";"R06AX17";"Antihistaminiques à usage systémique";"Autres antihistaminiques à usage systémique";;"NO";"Réponse laboratoire";;;"Solution buvable";"A prendre de préférence le soir pendant les repas.";"Alfasigma 08-04-2022 : ouverture déconseillée car pas d'étude.";"18/04/2023";
"KETOTIFENE LP 2 mg (Zaditen LP)";"Comprimé LP";"R06AX17";"Antihistaminiques à usage systémique";"Autres antihistaminiques à usage systémique";;"NE";"RCP";;;"? Non LP ?
Solution buvable";"A prendre de préférence le soir pendant les repas.";;"18/04/2023";
"LABETALOL 200 mg (Trandate)";"Comprimé";"C07AG01";"Bêtabloquants";"Alpha et bêta-bloquants";;"NE";"RCP";"Ecrasable selon HUG 03/2023";;"Non";"A prendre de préférence en fin de repas.";"ASPEN Pharma 04-03-2022 : écrasement déconseillé car pas d'étude interne. ";"18/04/2023";
"LACOSAMIDE 50, 100, 150 et 200 mg
(Vimpat)";"Comprimé";"N03AX18";"Antiépileptiques";"Autres antiépileptiques";;"NE";"Réponse laboratoire";"Ecrasable selon HUG 03/2023";;"Sirop";"A prendre avec ou sans nourriture.";"UCB 24-04-2024 : écrasement déconseillé car pas d'étude ";"23/04/2024";
"LAMIVUDINE / ZIDOVUDINE 150/300 mg (Combivir)";"Comprimé sécable";"J05AR01";"Antiviraux à action directe";"Antiviraux pour le traitement des infections au VIH en association";;"E";"RCP";"Ecrasable selon HUG 03/2023";"E, J, L, C, Y, V";"Solutions buvables";"Peut être écrasé et mélangé à une petite quantité de nourriture semi-solide ou de liquide. Administration immédiate. A prendre de préférence à jeun.";;"18/04/2023";
